CompanyName,OtherType,Approved_Date,Address,City,County,State,ZIP_Code,Latitude,Longitude,FinancingAmount,TotalInvestment,ProjectedTotalJobs
Sharp Manufacturing Company of America (A),FTZ-77,1984-07-02,Sharp Plaza Blvd,Memphis,Shelby,TN,38115,35.0414218,-89.8817321,0,0,0
Brother Industries USA Inc. (B),FTZ-77,1995-09-11,7819 N. Brother Blvd.,Bartlett,Shelby,TN,38133,35.2166018,-89.7999151,0,0,0
Electrolux Home Products Inc,Tennessee FastTrack Economic Development Grant,2011-01-12,3231 Paul Lowery Road,Memphis,Shelby,TN,38109,35.0597081,-90.1562283,137000000,195000000,1240
Baxter Healthcare (9),FTZ-77,2011-03-23,4835 S. Mendenhall Road,Memphis,Shelby,TN,38141,35.0150239,-89.877732,0,0,0
"Oxford Immunotec, Inc.",Tennessee FastTrack Economic Development Grant,2012-02-27,5846 Distribution Drive,Memphis,Shelby,TN,38141,35.018953,-89.8681968,100000,3050000,65
"International Paper, Inc.",Tennessee FastTrack Economic Development Grant,2013-02-20,6420 Poplar Avenue,Memphis,Shelby,TN,38119,35.1007376,-89.8497505,2000000,633968540,2375
"Wright Medical Technology, Inc.",Tennessee FastTrack Economic Development Grant,2013-08-07,1023 Cherry Road,Memphis,Shelby,TN,38117,35.1043394,-89.9180594,1000000,15570440,260
New Breed Logistics,Tennessee FastTrack Economic Development Grant,2013-10-22,4895 Citation Drive,Memphis,Shelby,TN,38118,35.0147643,-89.9090377,400000,23000000,468
Conduit Global,Tennessee FastTrack Economic Development Grant,2014-01-22,7000 Goodlett Farms,Memphis,Shelby,TN,38016,35.1747936,-89.8305289,1250000,5100000,1000
"MicroPort Orthopedics, Inc.",Tennessee FastTrack Economic Development Grant,2014-06-10,5677 Airline Road,Arlington,Shelby,TN,38002,35.2795467,-89.6699163,2500000,100000000,171
"International Sourcing Company, Inc. (17)",FTZ-77,2014-07-17,4025 Viscount,Memphis,Shelby,TN,38118,35.046464,-89.9285529,0,0,0
Target Corporation,Tennessee FastTrack Economic Development Grant,2014-12-17,5461 Davidson Road,Memphis,Shelby,TN,38118,35.0011542,-89.8853981,2217600,69119545,462
