CompanyName,Address,City,State,ZIP Code,Latitude,Longitude,BondAmount,TotalInvestment,ProjectedTotalJobs,Approved_Date,,
"Elvis Presley Enterprises, Inc. Series 2015A",3734 Elvis Presley Blvd,Memphis,TN,38116,35.04703466,-90.02420723,84000000,137000000,280,2015-05-20,,
Elvis Presley Enterprises Inc. Series 2016A B,3734 Elvis Presley Blvd,Memphis,TN,38116,35.04703466,-90.02420723,40000000,137000000,280,2016-10-12,,
Parkside at Shelby Farms,150 Timber Creek Drive,Cordova,TN,38018,35.15336178,-89.84031836,28000000,165550000,0,2021-11-17,,
Southbrook Towne Center,1212 East Shelby Drive,Memphis,TN,38116,35.02146525,-90.0228448,2142850,7700000,379,2017-06-21,,
Young Mens Christian Association,6375 North Quail Hollow Road,Memphis,TN,38120,35.10432967,-89.85080834,7500000,7500000,606,2018-12-19,,
Liberty Park TDZ Bond,Central Ave @ East Parkway Blvd,Memphis,TN,38104,35.12529102,-89.98359142,75000000,75000000,0,2021-04-21,,
"Serenity Recovery Centers, Inc.",1094 Poplar Avenue,Memphis,TN,38105,35.14521105,-90.02381721,2300000,2300000,60,2014-11-19,,
Distilled Spirits Inc.,802 N. Royal Ave.,Memphis,TN,38107,35.1826475,-90.03029052,15000000,17900000,15,2021-02-17,,
City of Memphis - TDZ Revenue Refunding Bonds,125 North Main,Memphis,TN,38103,35.14911609,-90.05210564,158240000,200758000,0,2017-03-15,,
Port Commission Bond Refunding Request,3231 Riverport Road,Memphis,TN,38109,35.06004169,-90.15696887,29000000,0,0,2022-05-18,,
City of Memphis Accelerate,Multiple Neighborhoods,Memphis,TN,,35.14911609,-90.05210564,24255000,200000000,0,2021-04-21,,
"Elvis Presley Enterprises, Inc. Series 2017",3734 Elvis Presley Blvd,Memphis,TN,38116,35.04703466,-90.02420723,104300000,20000000,280,2017-09-20,,
