CompanyName,ProjectType,LoanType,Address,City,State,ZIP_Code,Latitude,Longitude,CityCouncilDistrict,CityCouncilSuperDistrict,CountyCommissionDistrict,Term,ProjectedNewJobs,ProjectedRetainedJobs,AveragePayroll,Approved_Date,LoanAmount,LoanUse,InterestRate,TotalProjectedCapitalInvestment,PCI_RealProperty,PCI_Acquisition,PCI_Construction,PCI_Renovation,PCI_MachineryEquipment,PCI_FurnitureFixturesOffice,PCI_Equipment,PCI_FeesSoftCosts,PCI_PermanentWorkingCapital,PCI_Miscellaneous
Memphis Guitar Spa,Neighborhood Project,Inner City Economic Development Loan,2561 Broad Avenue,Memphis,TN,38112,35.1476517,-89.974,5,9,7,3,5,2,0,7/10/2014,25000,Facade Improvement,0,50000,0,0,8269,37500,4231,0,0,0,0,0
Handcrafted Furniture by Elmore Holmes,Neighborhood Project,Inner City Economic Development Loan,2542 Broad Avenue,Memphis,TN,38112,35.148529,-89.974332,5,9,7,3,0,1,0,7/10/2014,25000,Facade Improvement,0,250000,0,0,25000,197500,25000,0,0,0,0,2500
H&M Health and Wellness,Neighborhood Project,EDGE Loan Fund Loan,2840 Summer Oaks,Bartlett,TN,38134,35.2031844,-89.8425685,1,8,3,5,1,0,35000,7/10/2014,50000,Permanent Working Capital,0.0325,90000,0,0,60000,0,10000,0,0,0,20000,0
B.G. Brooks Enterprises,Neighborhood Project,Inner City Economic Development Loan,995 Mississippi Boulevard,Memphis,TN,38126,35.1197815,-90.0390383,6,8,8,3,10,0,0,8/6/2014,20000,Facade Improvement,0,32000,24000,0,0,8000,0,0,0,0,0,0
NovaCopy,Office/HQ,SBA 504 Loan,6859 Appling Farms Pkwy,Memphis,TN,38133,35.1841022,-89.8212145,1,9,5,20,30,0,44133,8/6/2014,2175412,Building Construction and Equipment,,5438531,0,0,4894677,0,0,0,543853,0,0,0
Quality Quick Cleaners,Neighborhood Project,Inner City Economic Development Loan,284 East McLemore Street,Memphis,TN,38106,35.1160665,-90.0527827,6,8,8,3,2,7,15000,8/6/2014,25000,Facade Improvement,0,37500,30000,0,0,5000,0,0,0,0,0,2500
Goode Development,Neighborhood Project,Inner City Economic Development Loan,2519 Broad Avenue,Memphis,TN,38112,35.1478059,-89.9753647,5,9,7,3,25,0,0,9/3/2014,25000,Facade Improvement,0,730000,355000,0,355000,25000,0,0,0,0,0,0
Metalworks,Neighborhood Project,Inner City Economic Development Loan,2537 Broad Avenue,Memphis,TN,38112,35.1477808,-89.9747655,5,9,7,3,0,0,0,11/5/2014,25000,Facade Improvement,0,37500,12500,0,0,25000,0,0,0,0,0,0
Propcellar Vintage Rentals,Neighborhood Project,Inner City Economic Development Loan,2585 Summer Avenue,Memphis,TN,38112,35.1496456,-89.9729322,5,9,7,3,6,1,0,11/5/2014,25000,Facade Improvement,0,269625,244625,0,0,25000,0,0,0,0,0,0
P&M Catering,Neighborhood Project,Inner City Economic Development Loan,1011 Mississippi Boulevard,Memphis,TN,38106,35.1193486,-90.0388858,6,8,8,3,7,0,0,2/4/2015,25000,Facade and Interior Improvements,0,95400,35000,0,0,50000,0,10400,0,0,0,0
Tylers Grocery,Neighborhood Project,Inner City Economic Development Loan,973 East McLemore Avenue,Memphis,TN,38106,35.115277,-90.0296398,4,8,8,3,2,2,0,2/4/2015,22000,Facade and Interior Improvements,0,33000,3644,0,0,29356,0,0,0,0,0,0
Motamedi GlasArt,Neighborhood Project,Inner City Economic Development Loan,492 South Second Street,Memphis,TN,38103,35.1337195,-90.056231,7,8,8,3,0,1,0,8/10/2015,25000,Facade and Interior Improvements,0,40043,13349,0,0,25000,0,1694,0,0,0,0
Euro Imports of Memphis,Neighborhood Project,Inner City Economic Development Loan,2699 Broad Avenue,Memphis,TN,38112,35.1471074,-89.9694322,5,9,7,3,2,5,0,8/10/2015,25000,Facade and Interior Improvements,0,37500,10930,0,0,25000,0,1570,0,0,0,0
The Bikesmith,Neighborhood Project,Inner City Economic Development Loan,509 North Hollywood,Memphis,TN,38112,35.1494326,-89.9771442,5,9,7,3,3,1,0,8/10/2015,25000,Facade and Interior Improvements,0,37500,0,0,0,29000,0,7000,0,0,0,1500
Camys Inc,Neighborhood Project,Inner City Economic Development Loan,2886 Walnut Grove,Memphis,TN,38111,35.1365106,-89.9649895,5,9,7,3,7,16,0,9/2/2015,25000,Facade and Interior Improvements,0,60000,35000,0,0,20000,0,5000,0,0,0,0
Pyramid Stone,Neighborhood Project,Inner City Economic Development Loan,2615 Summer Avenue,Memphis,TN,38112,35.1496491,-89.9719404,5,9,7,3,6,6,0,9/2/2015,25000,Facade and Interior Improvements,0,132713,0,0,0,132713,0,0,0,0,0,0
Jim and Samellas,Neighborhood Project,Inner City Economic Development Loan,841 Bullington Avenue,Memphis,TN,38106,35.1088319,-90.0345764,4,8,8,3,5,3,0,9/2/2015,25000,Facade and Interior Improvements,0,61000,8000,0,0,37000,0,16000,0,0,0,0
Health Tech Institute of Memphis,Neighborhood Project,Inner City Economic Development Loan,571 Vance Avenue,Memphis,TN,38126,35.134305,-90.0430453,6,8,8,3,4,3,0,10/7/2015,25000,Facade Improvements,0,37500,7500,0,0,30000,0,0,0,0,0,0
"City and State, LLC",Neighborhood Project,Inner City Economic Development Loan,2625 Broad Avenue,Memphis,TN,38112,35.1474579,-89.971831,5,9,7,3,3,7,0,10/7/2015,25000,Facade Improvements,0,124410,27500,0,0,32000,0,64910,0,0,0,0
The Rec Room,Neighborhood Project,Inner City Economic Development Loan,3000 Broad Avenue,Memphis,TN,38112,35.147555,-89.9607732,5,9,7,3,4,20,0,10/7/2015,25000,Facade Improvements,0,181528,0,0,0,83702,0,97826,0,0,0,0
Advance Memphis,Neighborhood Project,Inner City Economic Development Loan,575 Suzette Street,Memphis,TN,38126,35.1310969,-90.034019,6,8,8,3,6,15,0,10/7/2015,25000,Facade Improvements,0,225487,188087,0,0,25000,0,12400,0,0,0,0
Lodestone Design,Neighborhood Project,Inner City Economic Development Loan,578 South Highland,Memphis,TN,38111,35.1159061,-89.9453559,5,9,13,3,0,1,0,12/2/2015,25000,Building Improvements,0,40491,28153,0,0,0,0,0,0,4338,0,8000
"Gs Wings, Fish, Burgers & Â More",Neighborhood Project,Inner City Economic Development Loan,4635 Tuchulahoma Road,Memphis,TN,38118,35.0217269,-89.9550583,3,8,11,3,0,3,0,12/2/2015,25000,Building Improvement,0,38533,10506,0,353,6828,0,0,20846,0,0,0
"J&H Graphic Screen Printing, Inc.",Neighborhood Project,Inner City Economic Development Loan,2331 Elvis Presley,Memphis,TN,38106,35.0815243,-90.019348,6,8,10,3,10,4,0,12/2/2015,21310,Building Improvements,0,31966,19020,0,0,0,0,7946,0,0,0,5000
Falling into Place,Neighborhood Project,Inner City Economic Development Loan,2613 Broad Avenue,Memphis,TN,38112,35.1475463,-89.9722871,5,9,7,3,1,2,0,12/8/2015,25000,Building Improvements,0,58630,31917,0,4743,18690,0,0,0,0,0,3280
MAAEs Market,Neighborhood Project,Inner City Economic Development Loan,2063 Castex Street,MEMPHIS,TN,38109,35.0913303,-90.0704613,6,8,9,3,4,0,0,2/3/2016,21499,Building Improvements,0,32249,24520,0,0,0,0,1980,2973,0,0,2776
Restoration House Boxing Academy,Neighborhood Project,Inner City Economic Development Loan,4050 North Watkins,Memphis,TN,38127,35.2364709,-90.0143272,7,8,7,3,0,1,0,2/3/2016,7190,Building Improvements,0,10785,10785,0,0,0,0,0,0,0,0,0
Major & Son Master Muffler,Neighborhood Project,Inner City Economic Development Loan,2207 Airways,Memphis,TN,38114,35.0850343,-89.9872599,6,8,10,3,0,2,0,2/3/2016,25000,Building Improvements,0,62865,51740,0,0,5900,0,625,4600,0,0,0
The Choo,Neighborhood Project,Inner City Economic Development Loan,3045 Southern Avenue,Memphis,TN,38111,35.115124,-89.9608825,4,8,10,3,0,4,0,5/4/2016,25000,Building Improvements,0,39958,30317,0,0,0,0,1800,950,0,0,6891
"CityWood, LLC",Neighborhood Project,Inner City Economic Development Loan,583 Scott Street,Memphis,TN,38112,35.148269,-89.967506,5,9,7,3,4,2,0,5/4/2016,25000,Building Improvements,0,66000,52000,0,0,14000,0,0,0,0,0,0
On the Spot Cuts and Styles,Neighborhood Project,Inner City Economic Development Loan,3147 Frayser Boulevard,Mempis,TN,38128,35.2220171,-89.9587391,1,9,6,3,5,6,0,5/4/2016,25000,Building Improvements,0,39674,11880,0,0,14400,0,0,0,5279,0,8115
The Barber Institute dba Success Barber College,Neighborhood Project,Inner City Economic Development Loan,1642 Shelby Drive,Memphis,TN,38116,35.0213987,-90.0089811,3,8,9,3,2,1,0,7/6/2016,25000,Building improvements,0,99010,0,0,0,0,0,0,0,0,0,0
Neighborhood Grocery,Neighborhood Project,Inner City Economic Development Loan,1362 South Main Street,Memphis,TN,38106,35.1102084,-90.0598428,6,8,8,3,2,2,0,9/7/2016,18278,Facade Improvements,0,30500,29088,0,0,0,0,0,1401,0,0,0
Drus Place,Neighborhood Project,Inner City Economic Development Loan,1474 Madison Avenue,Memphis,TN,38104,35.1386951,-90.0121076,6,8,8,3,2,4,0,9/7/2016,16940,Facade Improvements,0,25410,22091,0,0,0,0,0,0,0,0,3319
April House Premier,Neighborhood Project,Inner City Economic Development Loan,5650 Mt. Moriah,Memphis,TN,38115,35.074825,-89.8751487,4,8,11,3,4,4,0,9/7/2016,8255,Building Improvements,0,18132,8882,0,0,0,0,0,0,0,0,3500
"South Memphis Alliance, Inc.",Neighborhood Project,Inner City Economic Development Loan,1231 Walker Avenue,Memphis,TN,38106,35.1182591,-90.0208605,4,8,8,3,0,5,0,11/2/2016,20000,Property improvements,0,38200,38200,0,0,0,0,0,0,0,0,0
Three Sisters Deli,Neighborhood Project,Inner City Economic Development Loan,1392 Kney Street,Memphis,TN,38107,35.178026,-90.0220557,7,8,8,3,3,0,0,11/2/2016,18946,facade improvements plumbing and electrical upgrades interior restoration and HVAC installation,0,42508,37000,0,0,0,0,0,5508,0,0,0
Knowledge Quest,Neighborhood Project,Inner City Economic Development Loan,590 Jennette Place,Memphis,TN,38126,35.1188982,-90.0424436,6,8,8,3,8,12,0,11/2/2016,20000,Building Improvements,0,30040,30040,0,0,0,0,0,0,0,0,0
Champions Pharmacy and Herb Store,Neighborhood Project,Inner City Economic Development Loan,2369 Elvis Presley Boulevard,Memphis,TN,38106,35.080662,-90.0192473,6,8,10,3,0,4,0,2/1/2017,20000,"Facade improvements, roof replacement, sign repair, and parking improvements",0,33600,33600,0,0,0,0,0,0,0,0,0
Park Place Recycling & Logistics,Neighborhood Project,Inner City Economic Development Loan,815 East Georgia Avenue,Memphis,TN,38126,35.1283345,-90.0338928,6,8,8,3,5,10,0,2/1/2017,20000,Building improvements,0,30000,30000,0,0,0,0,0,0,0,0,0
Orca Printing,Neighborhood Project,Inner City Economic Development Loan,1808 Septmeber Avenue,Memphis,TN,38116,35.0545998,-90.0033871,3,8,10,3,3,1,0,6/7/2017,19000,"Improve the exterior appearance, construct a showroom with restrooms and install an HVAC system",0,28500,0,0,9500,19000,0,0,0,0,0,0
HopeWorks,Neighborhood Project,Inner City Economic Development Loan,3337 Summer Avenue,Memphis,TN,38122,35.1489961,-89.9498062,5,9,13,3,15,0,0,6/7/2017,20000,Improve the exterior appearance and repave the parking lot,0,43678,0,0,43678,0,0,0,0,0,0,0
Soulsville Market,Neighborhood Project,Inner City Economic Development Loan,745 East McLemore,Memphis,TN,38106,35.115392,-90.0373464,4,8,8,3,4,0,0,9/6/2017,20000,"Improve the exterior appearance, repair HVAC, repair the roof, and complete interior improvements",0,36992,23150,0,0,11132,0,0,0,0,0,2710
Stylist Salon,Neighborhood Project,Inner City Economic Development Loan,3240 North Watkins,Memphis,TN,38127,35.2140956,-90.003224,7,8,7,3,6,0,0,9/6/2017,15000,"Improve the exterior appearance, install an HVAC system, repair the roof and complete interior improvements",0,22635,0,0,0,21557,0,0,0,0,0,1078
Memphis Magnetic Recording Company,Neighborhood Project,Inner City Economic Development Loan,618 Vance Avenue,Memphis,TN,38126,35.1346088,-90.0410866,6,8,8,3,5,0,0,12/6/2017,20000,"Improve exterior appearance, expand the building, and install HVAC system",0,51156,51156,0,0,0,0,0,0,0,0,0
NH Owens & Sons Funeral Home,Neighborhood Project,Inner City Economic Development Loan,421 Scott Street,Memphis,TN,38112,35.1440987,-89.9674079,5,9,7,3,4,14,0,12/6/2017,18000,"Improve the exterior appearance, weatherproof entrances, and improve disabled accessibility",0,30951,30951,0,0,0,0,0,0,0,0,0
Lulas Frozen Treats,Neighborhood Project,Inner City Economic Development Loan,1750 Frayser Boulevard,Memphis,TN,38127,35.2179807,-90.005501,7,8,7,3,2,0,0,12/6/2017,18000,"Remodel the interior, add a patio, and install ADA compatible restrooms",0,37211,28113,0,7985,0,0,0,0,0,0,1113
Family Multiplex Center,None,Inner City Economic Development Loan,1025 Whitney Avenue,Memphis,TN,38127,35.2105135,-90.0297434,7,8,8,3,6,0,0,3/7/2018,20000,facade improvements HVAC installation electrical repair,0,51409,47609,0,0,38000,0,0,0,0,0,0
Kemet Nu Enterprises,Neighborhood Project,Inner City Economic Development Loan,988/990 Mississippi Boulevard,Memphis,TN,38126,35.1199341,-90.0387206,6,8,8,3,4,0,0,3/7/2018,15000,"improve the exterior appearance, replace the roof, and install an HVAC system",0,90000,15000,0,0,0,0,0,0,0,0,0
Castle Retail Group,Neighborhood Project,Inner City Economic Development Loan,1977 South Third Street,Memphis,TN,38109,35.0934873,-90.0570188,6,8,8,7,50,0,25044,7/11/2018,100000,point of sale equipment meat & deli department scales,0.02,1087500,0,0,0,0,0,0,0,0,0,0
Memphis Area Youth Association,Neighborhood Project,Inner City Economic Development Loan,5395 Elvis Presley Boulevard,Memphis,TN,38116,35.0010754,-90.025836,3,8,9,3,4,5,0,8/1/2018,20000,roof replacement ceiling repair facade improvements exterior lighting,0,32743,29270,0,0,3473,0,0,0,0,0,0
Eggxactly Breakfast & Deli,Neighborhood Project,Inner City Economic Development Loan,1248 Marlin Road,Memphis,TN,38116,35.0344031,-90.0223579,3,8,9,3,2,0,0,8/1/2018,20000,exterior improvements signage installation driveway repair,0,33509,20902,0,0,0,0,0,0,0,0,12607
"Scott Street, LLC dba S2F Performance Lab",Neighborhood Project,Inner City Economic Development Loan,678 Scott Street,Memphis,TN,38112,35.1506789,-89.9666906,5,9,7,3,4,2,0,12/5/2018,22000,exterior improvements lighting parking,0,123585,78585,0,0,0,0,0,0,0,0,0
Trap Fusion,Neighborhood Project,Inner City Economic Development Loan,4637 Boeingshire Drive,Memphis,TN,38116,35.0220794,-89.9974864,3,8,9,3,6,0,0,3/6/2019,14500,interior renovations and facade appearance,0,21750,7350,0,0,0,0,0,6450,0,0,7950
"Warehouse Studios, LLC",Neighborhood Project,Inner City Economic Development Loan,358 Walnut Street,Memphis,TN,38126,35.1326317,-90.034622,6,8,8,3,0,14,0,3/6/2019,20000,facade improvements HVAC installation electrical repair,0,73135,30120,0,9970,0,0,0,0,0,0,33045
Mystic Styles Glam Studio,Neighborhood Project,Inner City Economic Development Loan,4466 Elvis Presley Boulevard,Memphis,TN,38116,35.0261665,-90.0239806,3,8,9,3,0,10,0,5/1/2019,12000,completing electrical and plumbing upgrades  new flooring  exterior signage,0,44862,28862,0,0,0,0,16000,0,0,0,0
Als Tasty Burger,Neighborhood Project,Inner City Economic Development Loan,965 East McLemore,Memphis,TN,38106,35.1152055,-90.03001,4,8,8,3,10,0,0,5/1/2019,20000,Buildout of exterior renovations improve visibility,0,38510,29510,0,0,0,0,9000,0,0,0,0
Vann Cut,Neighborhood Project,Inner City Economic Development Loan,2546 North Watkins Street,Memphis,TN,38127,35.1950532,-90.0073955,7,8,8,3,5,0,0,7/10/2019,20000,facade improvements lighting and paint interior renovation electrical plumbing cabinetry structural roof HVAC repair,0,52737,5450,0,0,28925,0,15090,0,0,0,3272
